0
//WarningTime   NotifyTime   EventTime   CloseTime
5               1            15          4         
end

1
//Year   Month   Day   DoW   Hour   Minute   Second
*        *       *     *     13     00        0
*        *       *     *     14     00        0
*        *       *     *     15     00        0
*        *       *     *     16     00        0
*        *       *     *     17     00        0
*        *       *     *     18     00        0
*        *       *     *     19     00        0
*        *       *     *     20     00        0
*        *       *     *     21     00        0
*        *       *     *     22     00        0
*        *       *     *     23     00        0
*        *       *     *     1     00        0
end

2
//Level   ExperienceTable1   ExperienceTable2
0         20000              5000
1         50000              10000
2         80000              15000
3         90000              20000
4         100000             25000
5         110000             30000
6         120000             35000
7         130000             40000
end

3
//Level   MoneyTable1   MoneyTable2
0         20000	        10000
1         50000	        25000
2         100000	50000
3         150000	80000
4         200000	100000
5         250000	120000
6         300000	140000
7         350000	160000
end

4
//Level   GateNpcLife   StatueNpcLife  
0	  200000000	200000000
1	  200000000	200000000
2	  200000000	200000000
3	  200000000	200000000
4	  200000000	200000000
5	  200000000	200000000
6	  200000000	200000000
7	  20000000	25000000
end

//Reward 
5
//Level   	WC	WP	GP 
0		0	0	25		
1		0	0	25
2		0	0	25
3		0	0	50
4		0	0	50
5		0	0	50
6		0	0	75
7		0	0	100
end
