0
//NotifyTime   EventTime   CloseTime
1              10          1         
end

1
//DefaultMonsterAIUnitNumber   SupportMonsterAIUnitNumber
72                             73
end

2
//Index   Level   MaxLife   DamageMin   DamageMax   Defense   AttackRate   DefenseRate
0         45      100      100        100        100      100         100
1         46      100      100        100        100      100         100
2         47      100      100        100        100      100         100
3         48      100      100        100        100      100         100
4         49      100      100        100        100      100         100
5         50      100      100        100        100      100         100
6         51      100      100        100        100      100         100
7         52      100      100        100        100      100         100
8         53      100      100        100        100      100         100
9         54      100      100        100        100      100         100
10        55      100      100        100        100      100         100
11        56      100      100        100        100      100         100
12        57      100      100        100        100      100         100
13        58      100      100        100        100      100         100
14        59      100      100        100        100      100         100
15        60      100      100        100        100      100         100
16        61      100      100        100        100      100         100
17        62      100      100        100        100      100         100
18        63      100      100        100        100      100         100
19        64      100      100        100        100      100         100
20        66      100      100        100        100      100         100
21        68      100      100        100        100      100         100
22        70      100      100        100        100      100         100
23        72      100      100        100        100      100         100
24        74      100      100        100        100      100         100
25        76      100      100        100        100      100         100
26        78      100      100        100        100      100         100
27        80      100      100        100        100      100         100
28        82      100      100        100        100      100         100
29        85      100      100        100        100      100         100
30        87      100      100        100        100      100         100
31        89      100      100        100        100      100         100
32        91      100      100        100        100      100         100
33        93      100      100        100        100      100         100
34        95      100      100        100        100      100         100
35        97      100      100        100        100      100         100
36        99      100      100        100        100      100         100
37        101     100      100        100        100      100         100
38        103     100      100        100        100      100         100
39        105     100      100        100        100      100         100
40        107     100      100        100        100      100         100
41        109     100      100        100        100      100         100
42        111     100      100        100        100      100         100
43        113     100      100        100        100      100         100
44        115     100      100        100        100      100         100
45        117     100      100        100        100      100         100
46        119     100      100        100        100      100         100
47        121     100      100        100        100      100         100
48        123     100      100        100        100      100         100
49        125     100      100        100        100      100         100
50        127     100      100        100        100      100         100
51        129     100      100        100        100      100         100
52        131     100      100        100        100      100         100
53        133     100      100        100        100      100         100
54        135     100      100        100        100      100         100
55        137     100      100        100        100      100         100
56        139     100      100        100        100      100         100
57        141     100      100        100        100      100         100
58        143     100      100        100        100      100         100
59        145     100      100        100        100      100         100
end
