0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Senior Mix"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent

7           98     0          0          1       1      0        3 //BA Helm
7           99     0          0          1       1      0        3 //BA Helm
7           100     0          0          1       1      0        3 //BA Helm
7           101     0          0          1       1      0        3 //BA Helm
7           103     0          0          1       1      0        3 //BA Helm
7           104     0          0          1       1      0        3 //BA Helm

7           98     0          0          1       1      0        3 //BA armor
7           99     0          0          1       1      0        3 //BA armor
7           100     0          0          1       1      0        3 //BA armor
7           101     0          0          1       1      0        3 //BA armor
7           102     0          0          1       1      0        3 //BA armor
7           103     0          0          1       1      0        3 //BA armor
7           104     0          0          1       1      0        3 //BA armor

7           98     0          0          1       1      0        3 //BA pants
7           99     0          0          1       1      0        3 //BA pants
7           100     0          0          1       1      0        3 //BA pants
7           101     0          0          1       1      0        3 //BA pants
7           102     0          0          1       1      0        3 //BA pants
7           103     0          0          1       1      0        3 //BA pants
7           104     0          0          1       1      0        3 //BA pants

7           98     0          0          1       1      0        3 //BA gloves
7           99     0          0          1       1      0        3 //BA gloves
7           100     0          0          1       1      0        3 //BA pants
7           101     0          0          1       1      0        3 //BA gloves
7           102     0          0          1       1      0        3 //BA gloves
7           103     0          0          1       1      0        3 //BA gloves

7           98     0          0          1       1      0        3 //BA boots
7           99     0          0          1       1      0        3 //BA boots
7           100     0          0          1       1      0        3 //BA pants
7           101     0          0          1       1      0        3 //BA boots
7           102     0          0          1       1      0        3 //BA boots
7           103     0          0          1       1      0        3 //BA boots
7           104     0          0          1       1      0        3 //BA boots

0           22     0          0          1       0      1        2
0           23     0          0          1       0      1        2
0           35     0          0          1       0      1        2
2           14     0          0          1       0      1        2
4           21     0          0          1       0      1        2
5           12     0          0          1       0      1        2
5           19     0          0          1       0      1        2

0           22     0          0          1       0      1        3
0           23     0          0          1       0      1        3
0           35     0          0          1       0      1        3
2           14     0          0          1       0      1        3
4           21     0          0          1       0      1        3
5           12     0          0          1       0      1        3
5           19     0          0          1       0      1        3

14           407     0          0          0       0      0        0 //gs



end
