0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Fortune Pouch"	         1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
12          15     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0

12          15     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0

12          15     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0

12          15     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0

12          15     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0

7          98     0          0          0       1      0        2
7          99     0          0          0       1      0        2
7          100     0          0          0       1      0        2
7          102     0          0          0       1      0        2
7          103     0          0          0       1      0        2
7          104     0          0          0       1      0        2

8          98     0          0          0       1      0        2
8          99     0          0          0       1      0        2
8          100     0          0          0       1      0        2
8          101     0          0          0       1      0        2
8          102     0          0          0       1      0        2
8          103     0          0          0       1      0        2
8          104     0          0          0       1      0        2

9          98     0          0          0       1      0        2
9          99     0          0          0       1      0        2
9          100     0          0          0       1      0        2
9          101     0          0          0       1      0        2
9          102     0          0          0       1      0        2
9          103     0          0          0       1      0        2
9          104     0          0          0       1      0        2

10          98     0          0          0       1      0        2
10          99     0          0          0       1      0        2
10          100     0          0          0       1      0        2
10          101     0          0          0       1      0        2
10          102     0          0          0       1      0        2
10          103     0          0          0       1      0        2


11          98     0          0          0       1      0        2
11          99     0          0          0       1      0        2
11          100     0          0          0       1      0        2
11          101     0          0          0       1      0        2
11          102     0          0          0       1      0        2
11          103     0          0          0       1      0        2
11          104     0          0          0       1      0        2

//
7          98     0          0          0       0      0        2
7          99     0          0          0       0      0        2
7          100     0          0          0       0      0        2
7          102     0          0          0       0      0        2
7          103     0          0          0       0      0        2
7          104     0          0          0       0      0        2

8          98     0          0          0       0      0        2
8          99     0          0          0       0      0        2
8          100     0          0          0       0      0        2
8          101     0          0          0       0      0        2
8          102     0          0          0       0      0        2
8          103     0          0          0       0      0        2
8          104     0          0          0       0      0        2

9          98     0          0          0       0      0        2
9          99     0          0          0       0      0        2
9          100     0          0          0       0      0        2
9          101     0          0          0       0      0        2
9          102     0          0          0       0      0        2
9          103     0          0          0       0      0        2
9          104     0          0          0       0      0        2

10          98     0          0          0       0      0        2
10          99     0          0          0       0      0        2
10          100     0          0          0       0      0        2
10          101     0          0          0       0      0        2
10          102     0          0          0       0      0        2
10          103     0          0          0       0      0        2


11          98     0          0          0       0      0        2
11          99     0          0          0       0      0        2
11          100     0          0          0       0      0        2
11          101     0          0          0       0      0        2
11          102     0          0          0       0      0        2
11          103     0          0          0       0      0        2
11          104     0          0          0       0      0        2
end
