0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Chaos Card Mix 1"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
14           13     0          0          0       0      0        0
14           14     0          0          0       0      0        0
14           42     0          0          0       0      0        0
14           31     0          0          0       0      0        0
14           22     0          0          0       0      0        0
14           16     0          0          0       0      0        0
12           15     0          0          0       0      0        0
12           30     0          1          0       0      0        0
12           31     0          1          0       0      0        0
12           136     0          0          0       0      0        0
12           140     0          1          0       0      0        0
13           35     0          0          0       0      0        0
13           4     0          0          0       0      0       0
end
