//MinLevel   MaxLevel   MinMasterLevel   MaxMasterLevel   MinReset   MaxReset   MinMasterReset   MaxMasterReset   ExperienceRate
  1            200          0                0                0          20         0                0                60000
  200          300          0                0                0          20         0                0                40000
  300          370          0                0                0          20         0                0                2000
  370          400          0                0                0          20         0                0                400
  400          400          0                50                0          20         0                0                2000
  400          400          50                80                0          20         0                0                280
  400          400          80                100                0          20         0                0                240
  400          400          100                150                0          20         0                0                200
  400          400          150                160                0          20         0                0                180
  400          400          160                170                0          20         0                0                160
  400          400          170                180                0          20         0                0                140
  400          400          180                190                0          20         0                0                120
  400          400          190                200                0          20         0                0                100
end
