22:04:46 [ExchangeTradeItem][calgary7][Zerowinx] - (Account: fjasmine05, Name: JinFrozt, Index: 6285, Level: 00, Serial: 01522155, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:04:46 [ExchangeTradeItem][calgary7][Zerowinx] - (Account: fjasmine05, Name: JinFrozt, Index: 6285, Level: 00, Serial: 01522151, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:04:46 [ExchangeTradeItem][calgary7][Zerowinx] - (Account: fjasmine05, Name: JinFrozt, Index: 6285, Level: 00, Serial: 0152214E, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:08:03 [ExchangeTradeItem][fjasmine05][JinFrozt] - (Account: calgary7, Name: Zerowinx, Index: 0033, Level: 07, Serial: 01519C57, Option1: 1, Option2: 1, Option3: 1, NewOption: 012, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:08:03 [ExchangeTradeItem][fjasmine05][JinFrozt] - (Account: calgary7, Name: Zerowinx, Index: 5641, Level: 06, Serial: 00E3C47F, Option1: 0, Option2: 1, Option3: 1, NewOption: 040, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:08:03 [ExchangeTradeItem][fjasmine05][JinFrozt] - (Account: calgary7, Name: Zerowinx, Index: 6679, Level: 00, Serial: 00B8A8A8, Option1: 0, Option2: 0, Option3: 1, NewOption: 040, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:40:13 [ExchangeTradeItem][t92594][Palos] - (Account: ripgames08, Name: BERDUGO, Index: 6180, Level: 09, Serial: 0104DA8C, Option1: 0, Option2: 0, Option3: 1, NewOption: 032, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:43:07 [ExchangeTradeItem][ripgames08][BERDUGO] - (Account: t92594, Name: Palos, Index: 6174, Level: 02, Serial: 0152305C, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:43:07 [ExchangeTradeItem][ripgames08][BERDUGO] - (Account: t92594, Name: Palos, Index: 6174, Level: 02, Serial: 01523063, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:43:07 [ExchangeTradeItem][ripgames08][BERDUGO] - (Account: t92594, Name: Palos, Index: 6174, Level: 02, Serial: 01523065, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
22:43:07 [ExchangeTradeItem][ripgames08][BERDUGO] - (Account: t92594, Name: Palos, Index: 6174, Level: 02, Serial: 01523067, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
